actor,timeStamp,object,result,verb,extension,,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:33:11.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/speaking/20/movie""}]","[{""duration"":128,""position"":127}]","[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/paused"",""display"":""paused""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:33:11.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/speaking/20/movie""}]","[{""duration"":128}]","[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/completed"",""display"":""completed""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:33:12.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/speaking/20""}]","[{""success"":true,""duration"":133}]","[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/submitted"",""display"":""submitted""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:33:12.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/speaking""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/completed"",""display"":""completed""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:33:14.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/speaking""}]","[{""duration"":158}]","[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/finished"",""display"":""finished""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:33:14.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started"",""display"":""started""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:33:14.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/speaking/20""}]","[{""completion"":true,""duration"":135}]","[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/finished"",""display"":""finished""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:33:18.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/pronunciation/37""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved"",""display"":""moved""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:33:18.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/pronunciation""}]","[{""duration"":0}]","[{""display"":""finished"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/finished""}]","[{""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""os"":""iOS"",""osVersion"":""12.1.2"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:33:18.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/pronunciation/37""}]","[{""completion"":false,""duration"":0}]","[{""display"":""finished"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/finished""}]","[{""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""os"":""iOS"",""osVersion"":""12.1.2"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:33:19.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/pronunciation/37""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started"",""display"":""started""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
