actor,timeStamp,object,result,verb,extension,,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:22:58.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/distinguish_pronunciation/4/recorder""}]",[{}],"[{""display"":""played"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/played""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:23:03.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:23:03.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/distinguish_pronunciation""}]","[{""duration"":34}]","[{""display"":""finished"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/finished""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:23:03.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/distinguish_pronunciation/4""}]","[{""completion"":false,""duration"":14}]","[{""display"":""finished"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/finished""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:23:05.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/distinguish_pronunciation/4""}]","[{""continue"":true}]","[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:23:06.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/distinguish_pronunciation/4""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:23:06.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/distinguish_pronunciation""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:23:26.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/distinguish_pronunciation/4""}]","[{""duration"":116}]","[{""display"":""suspended"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/suspended""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:24:56.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/distinguish_pronunciation/4""}]",[{}],"[{""display"":""resumed"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/resumed""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:24:58.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/distinguish_pronunciation/4""}]","[{""duration"":3}]","[{""display"":""suspended"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/suspended""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
